id,job_title,tech_skills,education
20925036.0,Summary    Chicago,['Excel'],Master
20993320.0,HR COORDINATOR         Summary     From,['R'],Master
85101052.0,TECHNICAL DESIGNER           Career Overview,['Sql'],Bachelor
17199951.0,JOB CAPTAIN,['Excel'],Master
13385306.0,DIRECTOR OF INFORMATION TECHNOLOGY       Profile    SUMMAR Y,['Sql'],Master
51639418.0,INFORMATION TECHNOLOGY BUREAU DEPUTY DIRECTOR           Professional Summary,['Sql'],PhD
66683238.0,MATH TEACHER,['Excel'],Bachelor
23138078.0,HEALTHCARE ADMINISTRATOR       Professional Summary    Talented and professional Healthcare,['Excel'],Mba
58879993.0,"I        HEALTHCARE MARKETING SPECIALIST         Professional Summary      An innovative,",['Excel'],Bachelor
34303500.0,SALES DIRECTOR       Summary,['Excel'],Bachelor
10332998.0,CONSULTANT       Professional Summary,['R'],Bachelor
12526702.0,CONSULTANT       Profile,['Excel'],Bachelor
14593060.0,IT CONSULTANT           Professional Profile    Accomplished Senior IT Engineer with,['Sql'],Bachelor
30864828.0,DIGITAL PRODUCTION MANAGER       Professional Summary    Creative,['Excel'],Bachelor
